"The 2G spectrum scam was an Indian telecommunications scam and political scandal in which politicians and government officials under the Indian National Congress(Congress) coalition government undercharged mobile telephone companies for frequency allocation licenses, which they then used to create 2G spectrum subscriptions for cell phones. The difference between the money collected and that mandated to be collected was estimated by the Comptroller and Auditor General of India at ?1.76 trillion(US$26 billion), based on 2010 3G and BWA spectrum-auction prices",spam
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience.,ham
"In a chargesheet filed on 2 April 2011 by the Central Bureau of Investigation (CBI, the investigating agency), the loss was pegged at ?309,845.5 million (US$4.6 billion)",spam
Text her. If she doesnt reply let me know so i can have her log in,ham
a dishonest scheme  a fraud.,spam
Lol no. U can trust me,ham
wrongful or criminal deception intended to result in financial or personal gain.,spam
"He will, you guys close?",ham
"a person or thing intended to deceive others, typically by unjustifiably claiming or being credited with accomplishments or qualities.",spam
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham
"Financial scam caused by the collapse of a Ponzi scheme run by Saradha Group, a consortium of over 200 private companies that was believed to be running collective investment schemes popularly but incorrectly referred to as chit funds.[4][5][6][7] As a result of this scam (Odisha and W.B),[8][9] Rajya Sabha MP Kunal Ghosh(All India Trinamool Congress) is in jail since Nov, 2013 for interrogations. Odisha MP Ramchandra Hansda (Biju Janata Dal) MLA Pravat Tripathy (Biju Janata Dal) and former Odisha MLAs Subarna Naik (Biju Janata Dal)and Hitesh Kumar Bagarti (Bharatiya Janata Party) have also been arrested for ponzi scam. Rajya Sabha MP from West Bengal Srinjay Bose (All India Trinamool Congress) has also been arrested.[10]West Bengaltransport minister and All India Trinamool Congress MLA Madan Mitra was also arrested.[11]",spam
ok. I am a gentleman and will treat you with dignity and respect.,ham
"Defense scandal caused by an American attorney who turned whistleblower[12] after hacking into emails and documents retained on the US based servers of arms dealer Abhishek Verma who is globally known as 'Lord of War'[13] and his wife former Miss Universe Romania Anca Verma's global weapons companies SIG SAUERand GANTON.[14] Leaked documents were sent to Indian politicians Arvind Kejriwal & Prashant Bhushan who released these to the press[15] as a result CBI and Enforcement Directorate arrested Abhishek and his wife Anca in multiple cases of defense sector purchases related corruption[16] & money laundering[17] aggregating to US$12 billion (Rs.80,000 crores).[18][19] Presently, Abhishek and his wife Anca are incarcerated in Tihar JailDelhi awaiting trial.[20]",spam
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
"It is estimated that out of Rs. 70000 crore spent on the Games, only half of the said amount was spent on Indian sportspersons. The Central Vigilance Commission, involved in probing the alleged corruption in various Commonwealth Games-related projects, has found discrepancies in tenders ? like payment to non-existent parties, will-ful delays in execution of contracts, over-inflated price and bungling in purchase of equipment through tendering ? and misappropriation of funds.",spam
I love you mom,ham
"coal blocks allotted, not auctioned, leading to estimated losses as per the Comptroller and Auditor General of India[22][23][24] Supreme Court cancels all 214 coal blocks allocations since 1993. Government to e-auction the coal blocks now.[25]",spam
Turns out my friends are staying for the whole show and won't be back til ,ham
Text her. If she doesnt reply let me know so i can have her log in,spam
I jus reached home. I go bathe first. But my sis using net tell u when she finishes ,ham
